epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.504,1.50696,2.28452,1.52132,0,0,0,0,0,0,0,0.0683784,0.0016643,0.0016643
2,197.689,1.53034,2.11391,1.54975,0,0,0,0,0,0,0,0.0362995,0.00291876,0.00291876
3,287.266,1.45042,1.96989,1.50023,0,0,0,0,0,0,0,0.00380813,0.00376072,0.00376072
4,376.698,1.40312,1.79494,1.46441,0,0,0,0,0,0,0,0.00314375,0.00314375,0.00314375
5,465.167,1.33199,1.65672,1.42302,0,0,0,0,0,0,0,0.002525,0.002525,0.002525
6,554.42,1.2936,1.55905,1.40566,0,0,0,0,0,0,0,0.00190625,0.00190625,0.00190625
7,643.191,1.23632,1.4435,1.36485,0,0,0,0,0,0,0,0.0012875,0.0012875,0.0012875
8,737.117,1.17676,1.34411,1.33091,0.73568,0.72529,0.7796,0.58518,1.09084,1.27332,1.29044,0.00066875,0.00066875,0.00066875
