epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.815,1.50138,2.25908,1.51499,0,0,0,0,0,0,0,0.0683251,0.00161104,0.00161104
2,195.669,1.52423,2.09882,1.54882,0,0,0,0,0,0,0,0.0362061,0.00282536,0.00282536
3,285.204,1.45243,1.96158,1.49894,0,0,0,0,0,0,0,0.00368779,0.00364037,0.00364037
4,375.445,1.40482,1.78937,1.45918,0,0,0,0,0,0,0,0.00304315,0.00304315,0.00304315
5,465.266,1.33395,1.66619,1.42125,0,0,0,0,0,0,0,0.0024442,0.0024442,0.0024442
6,554.888,1.29139,1.55472,1.39819,0,0,0,0,0,0,0,0.00184525,0.00184525,0.00184525
7,643.253,1.24039,1.44283,1.36204,0,0,0,0,0,0,0,0.0012463,0.0012463,0.0012463
8,736.053,1.18028,1.34468,1.33374,0.7992,0.69023,0.78538,0.58731,1.07207,1.26326,1.27854,0.00064735,0.00064735,0.00064735
