epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.37,1.47624,2.21736,1.48955,0,0,0,0,0,0,0,0.0680422,0.00132811,0.00132811
2,199.165,1.49537,2.0697,1.52155,0,0,0,0,0,0,0,0.0357099,0.00232917,0.00232917
3,288.918,1.42479,1.90949,1.47242,0,0,0,0,0,0,0,0.00304847,0.00300105,0.00300105
4,377.834,1.37771,1.74146,1.43997,0,0,0,0,0,0,0,0.00250871,0.00250871,0.00250871
5,467.232,1.31521,1.62688,1.40376,0,0,0,0,0,0,0,0.00201495,0.00201495,0.00201495
6,557.07,1.26875,1.50757,1.3801,0,0,0,0,0,0,0,0.00152119,0.00152119,0.00152119
7,643.817,1.21952,1.39721,1.34518,0,0,0,0,0,0,0,0.00102742,0.00102742,0.00102742
8,735.354,1.16596,1.30516,1.31588,0.77043,0.72441,0.79338,0.59534,1.0711,1.20457,1.26987,0.000533663,0.000533663,0.000533663
