epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5132.25,0.95546,0.83858,1.22982,0.84522,0.81637,0.86983,0.69184,0.92964,0.84253,1.24536,0.00307,0.00307,0.00307
44,5251.22,0.94718,0.8185,1.22283,0.84476,0.8208,0.87114,0.69632,0.93229,0.82408,1.2463,0.002905,0.002905,0.002905
45,5369.62,0.93397,0.80797,1.21772,0.84255,0.82771,0.87144,0.69329,0.9307,0.82838,1.25105,0.00274,0.00274,0.00274
46,5488.15,0.9481,0.8137,1.21851,0.8491,0.82592,0.87547,0.69788,0.9294,0.81405,1.25159,0.002575,0.002575,0.002575
47,5606.47,0.93217,0.80297,1.2121,0.8384,0.84033,0.87686,0.69882,0.93339,0.81201,1.25991,0.00241,0.00241,0.00241
48,5723.59,0.92127,0.78647,1.20279,0.85293,0.83567,0.87506,0.69859,0.93061,0.80138,1.25507,0.002245,0.002245,0.002245
49,5841.76,0.91627,0.78732,1.2048,0.86229,0.82769,0.87493,0.70222,0.93312,0.80098,1.25377,0.00208,0.00208,0.00208
50,5959.86,0.91637,0.76794,1.20277,0.85219,0.84485,0.87396,0.70121,0.92553,0.80526,1.25077,0.001915,0.001915,0.001915
51,6074.54,0.87803,0.6912,1.18947,0.87216,0.81787,0.87366,0.69648,0.92838,0.81177,1.24928,0.00175,0.00175,0.00175
52,6187.48,0.85833,0.65922,1.17947,0.86859,0.82382,0.87496,0.69738,0.91955,0.80858,1.24118,0.001585,0.001585,0.001585
53,6299.64,0.84268,0.65296,1.17513,0.86721,0.81945,0.8755,0.69827,0.92008,0.8073,1.24033,0.00142,0.00142,0.00142
54,6411.17,0.83671,0.64702,1.16267,0.85498,0.84051,0.87524,0.70078,0.91836,0.80183,1.2442,0.001255,0.001255,0.001255
55,6524.03,0.82808,0.6231,1.15669,0.87811,0.82325,0.87331,0.70137,0.92203,0.80333,1.24615,0.00109,0.00109,0.00109
56,6636.81,0.82943,0.60884,1.15092,0.86317,0.83392,0.87445,0.70165,0.91614,0.80139,1.24156,0.000925,0.000925,0.000925
57,6748.98,0.81279,0.60592,1.1436,0.8732,0.82366,0.87343,0.70075,0.91947,0.80496,1.24345,0.00076,0.00076,0.00076
58,6863.07,0.81806,0.6077,1.14892,0.8739,0.82882,0.8727,0.70058,0.91977,0.80769,1.24407,0.000595,0.000595,0.000595
59,6975.58,0.80045,0.5979,1.14456,0.87421,0.82919,0.87239,0.69844,0.92202,0.81024,1.24509,0.00043,0.00043,0.00043
60,7089.05,0.81219,0.5949,1.14271,0.86559,0.83477,0.87277,0.69876,0.92367,0.80736,1.24745,0.000265,0.000265,0.000265
