epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.995,1.50351,2.28633,1.52388,0,0,0,0,0,0,0,0.0683185,0.00160438,0.00160438
2,197.572,1.51702,2.11074,1.54763,0,0,0,0,0,0,0,0.0361944,0.00281368,0.00281368
3,285.587,1.44261,1.94829,1.49767,0,0,0,0,0,0,0,0.00367275,0.00362533,0.00362533
4,373.69,1.3934,1.78061,1.45572,0,0,0,0,0,0,0,0.00303057,0.00303057,0.00303057
5,462.375,1.33459,1.66643,1.43069,0,0,0,0,0,0,0,0.0024341,0.0024341,0.0024341
6,551.966,1.29225,1.55353,1.40617,0,0,0,0,0,0,0,0.00183762,0.00183762,0.00183762
7,641.005,1.23956,1.44604,1.37058,0,0,0,0,0,0,0,0.00124115,0.00124115,0.00124115
8,734.817,1.18049,1.34396,1.339,0.76018,0.72622,0.79037,0.59696,1.06812,1.22129,1.28556,0.000644675,0.000644675,0.000644675
