epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.356,1.46958,2.21652,1.48961,0,0,0,0,0,0,0,0.0680122,0.00129815,0.00129815
2,203.029,1.50154,2.05266,1.52835,0,0,0,0,0,0,0,0.0356574,0.00227663,0.00227663
3,291.937,1.4261,1.90543,1.48089,0,0,0,0,0,0,0,0.00298077,0.00293336,0.00293336
4,380.375,1.37165,1.74258,1.44008,0,0,0,0,0,0,0,0.00245212,0.00245212,0.00245212
5,469.867,1.30624,1.60937,1.40437,0,0,0,0,0,0,0,0.0019695,0.0019695,0.0019695
6,559.303,1.26665,1.50301,1.38097,0,0,0,0,0,0,0,0.00148687,0.00148687,0.00148687
7,648.659,1.21172,1.39,1.33983,0,0,0,0,0,0,0,0.00100425,0.00100425,0.00100425
8,742.875,1.15704,1.29232,1.31377,0.76369,0.73273,0.79426,0.60698,1.04154,1.19171,1.25187,0.000521625,0.000521625,0.000521625
