epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.374,1.5142,2.27782,1.51541,0,0,0,0,0,0,0,0.0683784,0.0016643,0.0016643
2,197.857,1.53638,2.11521,1.54661,0,0,0,0,0,0,0,0.0362995,0.00291876,0.00291876
3,288.224,1.45447,1.96839,1.49034,0,0,0,0,0,0,0,0.00380813,0.00376072,0.00376072
4,377.043,1.40296,1.79861,1.45667,0,0,0,0,0,0,0,0.00314375,0.00314375,0.00314375
5,464.844,1.32968,1.67038,1.41992,0,0,0,0,0,0,0,0.002525,0.002525,0.002525
6,553.636,1.29378,1.56087,1.39678,0,0,0,0,0,0,0,0.00190625,0.00190625,0.00190625
7,642.407,1.24046,1.44677,1.35778,0,0,0,0,0,0,0,0.0012875,0.0012875,0.0012875
8,737.122,1.18411,1.34715,1.3304,0.75112,0.70517,0.78392,0.57926,1.10547,1.25192,1.30084,0.00066875,0.00066875,0.00066875
