epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.74,1.50998,2.28771,1.52177,0,0,0,0,0,0,0,0.0683784,0.0016643,0.0016643
2,192.313,1.52965,2.11619,1.55202,0,0,0,0,0,0,0,0.0362995,0.00291876,0.00291876
3,279.129,1.45288,1.95699,1.50196,0,0,0,0,0,0,0,0.00380813,0.00376072,0.00376072
4,365.219,1.39738,1.79614,1.46127,0,0,0,0,0,0,0,0.00314375,0.00314375,0.00314375
5,451.827,1.34432,1.67005,1.42907,0,0,0,0,0,0,0,0.002525,0.002525,0.002525
6,537.406,1.29278,1.55974,1.40308,0,0,0,0,0,0,0,0.00190625,0.00190625,0.00190625
7,623.515,1.2394,1.44607,1.36581,0,0,0,0,0,0,0,0.0012875,0.0012875,0.0012875
8,714.97,1.18177,1.34769,1.33663,0.76383,0.69909,0.77825,0.57911,1.08302,1.26721,1.28121,0.00066875,0.00066875,0.00066875
