epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.012,1.50301,2.26631,1.53044,0,0,0,0,0,0,0,0.0683684,0.00165431,0.00165431
2,201.244,1.5294,2.12331,1.55327,0,0,0,0,0,0,0,0.036282,0.00290124,0.00290124
3,291.203,1.45404,1.9647,1.50747,0,0,0,0,0,0,0,0.00378557,0.00373815,0.00373815
4,379.9,1.39842,1.78813,1.46734,0,0,0,0,0,0,0,0.00312489,0.00312489,0.00312489
5,468.534,1.32949,1.65818,1.42747,0,0,0,0,0,0,0,0.00250985,0.00250985,0.00250985
6,556.142,1.29528,1.55994,1.40975,0,0,0,0,0,0,0,0.00189481,0.00189481,0.00189481
7,644.214,1.23817,1.44179,1.36892,0,0,0,0,0,0,0,0.00127977,0.00127977,0.00127977
8,739.039,1.17768,1.34745,1.34048,0.76681,0.72577,0.79319,0.59847,1.08142,1.23535,1.29001,0.000664737,0.000664737,0.000664737
