epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.878,1.50791,2.27247,1.52148,0,0,0,0,0,0,0,0.068375,0.00166097,0.00166097
2,194.242,1.52555,2.10934,1.55586,0,0,0,0,0,0,0,0.0362937,0.00291292,0.00291292
3,283.145,1.45371,1.9707,1.50693,0,0,0,0,0,0,0,0.00380061,0.00375319,0.00375319
4,371.216,1.39775,1.79211,1.4606,0,0,0,0,0,0,0,0.00313746,0.00313746,0.00313746
5,460.066,1.33388,1.67309,1.43061,0,0,0,0,0,0,0,0.00251995,0.00251995,0.00251995
6,548.779,1.28851,1.55528,1.40339,0,0,0,0,0,0,0,0.00190244,0.00190244,0.00190244
7,635.818,1.23364,1.44913,1.36373,0,0,0,0,0,0,0,0.00128492,0.00128492,0.00128492
8,727.613,1.18062,1.34553,1.33652,0.74439,0.71396,0.77389,0.57607,1.08517,1.2502,1.28743,0.000667412,0.000667412,0.000667412
