epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.67,1.50595,2.29232,1.52662,0,0,0,0,0,0,0,0.0683784,0.0016643,0.0016643
2,202.486,1.5196,2.11967,1.5526,0,0,0,0,0,0,0,0.0362995,0.00291876,0.00291876
3,291.533,1.45942,1.97982,1.50565,0,0,0,0,0,0,0,0.00380813,0.00376072,0.00376072
4,380.432,1.39559,1.79368,1.46762,0,0,0,0,0,0,0,0.00314375,0.00314375,0.00314375
5,464.851,1.33542,1.67367,1.43136,0,0,0,0,0,0,0,0.002525,0.002525,0.002525
6,549.458,1.28982,1.56533,1.40325,0,0,0,0,0,0,0,0.00190625,0.00190625,0.00190625
7,632.497,1.24426,1.45364,1.36831,0,0,0,0,0,0,0,0.0012875,0.0012875,0.0012875
8,726.515,1.18351,1.35264,1.34004,0.73581,0.72429,0.78049,0.58954,1.06916,1.22687,1.28376,0.00066875,0.00066875,0.00066875
